OBJECTID_1,OBJECTID,Id,GridID,Score,ShapeSTArea,ShapeSTLength
637,1759,0,1759,4,6969599.83808,10559.9998773333
638,3399,0,3399,1,6969600.70421999,10560.0005335
639,1604,0,1604,5,6969600.70421999,10560.0005335
640,899,0,899,2,6969599.83808,10559.9998773333
641,2329,0,2329,1,6969599.83808,10559.9998773333
642,313,0,313,3,6969600.70421999,10560.0005335
643,1236,0,1236,3,6969599.83808,10559.9998773333
644,598,0,598,1,6969599.83808,10559.9998773333
645,1934,0,1934,5,6969599.83808,10559.9998773333
646,1874,0,1874,3,6969599.83808,10559.9998773333
647,546,0,546,4,6969599.83808,10559.9998773333
648,2214,0,2214,2,6969599.83808,10559.9998773333
649,3046,0,3046,1,6969599.83808,10559.9998773333
650,2648,0,2648,2,6969600.70421999,10560.0005335
651,1751,0,1751,0,6969599.83808,10559.9998773333
652,3910,0,3910,2,6969599.83808,10559.9998773333
653,2040,0,2040,1,6969599.83808,10559.9998773333
654,469,0,469,2,6969599.83808,10559.9998773333
655,2236,0,2236,4,6969599.83808,10559.9998773333
656,2587,0,2587,1,6969599.83808,10559.9998773333
657,1268,0,1268,1,6969599.83808,10559.9998773333
658,1708,0,1708,6,6969599.83808,10559.9998773333
659,2477,0,2477,4,6969599.83808,10559.9998773333
660,764,0,764,2,6969599.83808,10559.9998773333
661,2222,0,2222,3,6969599.83808,10559.9998773333
662,3800,0,3800,1,6969599.83808,10559.9998773333
663,1757,0,1757,3,6969600.70421999,10560.0005335
664,644,0,644,2,6969600.70421999,10560.0005335
665,2472,0,2472,5,6969599.83808,10559.9998773333
666,3379,0,3379,2,6969600.70421999,10560.0005335
667,1869,0,1869,1,6969599.83808,10559.9998773333
668,1615,0,1615,1,6969600.70421999,10560.0005335
669,1995,0,1995,4,6969599.83808,10559.9998773333
670,1658,0,1658,5,6969599.83808,10559.9998773333
671,1642,0,1642,3,6969599.83808,10559.9998773333
672,1657,0,1657,5,6969599.83808,10559.9998773333
673,3558,0,3558,6,6969599.83808,10559.9998773333
674,2000,0,2000,4,6969599.83808,10559.9998773333
675,1527,0,1527,2,6969600.70421999,10560.0005335
676,721,0,721,4,6969599.83808,10559.9998773333
677,617,0,617,6,6969599.83808,10559.9998773333
678,904,0,904,2,6969599.83808,10559.9998773333
679,718,0,718,6,6969599.83808,10559.9998773333
680,2116,0,2116,0,6969599.83808,10559.9998773333
681,1489,0,1489,3,6969599.83808,10559.9998773333
682,822,0,822,4,6969599.83808,10559.9998773333
683,3395,0,3395,2,6969600.70421999,10560.0005335
684,2070,0,2070,1,6969599.83808,10559.9998773333
685,1237,0,1237,3,6969599.83808,10559.9998773333
686,2755,0,2755,3,6969599.83808,10559.9998773333
687,1199,0,1199,3,6969599.83808,10559.9998773333
688,1693,0,1693,1,6969599.83808,10559.9998773333
689,613,0,613,3,6969599.83808,10559.9998773333
690,1442,0,1442,1,6969599.83808,10559.9998773333
691,781,0,781,2,6969600.70421999,10560.0005335
692,824,0,824,2,6969599.83808,10559.9998773333
693,2860,0,2860,2,6969599.83808,10559.9998773333
694,2155,0,2155,1,6969600.70421999,10560.0005335
695,1459,0,1459,1,6969599.83808,10559.9998773333
696,3784,0,3784,1,6969599.83808,10559.9998773333
697,3966,0,3966,1,6969599.83808,10559.9998773333
698,3789,0,3789,3,6969599.83808,10559.9998773333
699,3797,0,3797,2,6969600.70421999,10560.0005335
700,1780,0,1780,4,6969599.83808,10559.9998773333
701,3397,0,3397,1,6969600.70421999,10560.0005335
702,1933,0,1933,5,6969599.83808,10559.9998773333
703,1463,0,1463,1,6969599.83808,10559.9998773333
704,2453,0,2453,2,6969600.70421999,10560.0005335
705,3852,0,3852,6,6969599.83808,10559.9998773333
706,672,0,672,2,6969599.83808,10559.9998773333
707,2154,0,2154,2,6969600.70421999,10560.0005335
708,995,0,995,1,6969599.83808,10559.9998773333
709,1283,0,1283,1,6969599.83808,10559.9998773333
710,1720,0,1720,4,6969600.70421999,10560.0005335
711,1760,0,1760,5,6969599.83808,10559.9998773333
712,3331,0,3331,5,6969599.83808,10559.9998773333
713,1701,0,1701,4,6969599.83808,10559.9998773333
714,2762,0,2762,2,6969599.83808,10559.9998773333
715,1997,0,1997,3,6969599.83808,10559.9998773333
716,1344,0,1344,4,6969599.83808,10559.9998773333
717,1007,0,1007,6,6969599.83808,10559.9998773333
718,3204,0,3204,2,6969599.83808,10559.9998773333
719,2768,0,2768,2,6969599.83808,10559.9998773333
720,1545,0,1545,5,6969600.70421999,10560.0005335
721,1386,0,1386,2,6969599.83808,10559.9998773333
722,2757,0,2757,2,6969599.83808,10559.9998773333
723,1003,0,1003,0,6969600.70421999,10560.0005335
724,3088,0,3088,2,6969599.83808,10559.9998773333
725,1191,0,1191,4,6969599.83808,10559.9998773333
726,3384,0,3384,2,6969600.70421999,10560.0005335
727,2924,0,2924,1,6969599.83808,10559.9998773333
728,2471,0,2471,1,6969599.83808,10559.9998773333
729,1674,0,1674,1,6969599.83808,10559.9998773333
730,2506,0,2506,2,6969599.83808,10559.9998773333
731,1645,0,1645,5,6969599.83808,10559.9998773333
732,3273,0,3273,6,6969599.83808,10559.9998773333
733,1980,0,1980,1,6969599.83808,10559.9998773333
734,1092,0,1092,2,6969599.83808,10559.9998773333
735,144,0,144,3,6969599.83808,10559.9998773333
736,2187,0,2187,3,6969600.70421999,10560.0005335
737,1504,0,1504,1,6969599.83808,10559.9998773333
738,1946,0,1946,4,6969599.83808,10559.9998773333
739,1188,0,1188,7,6969599.83808,10559.9998773333
740,2686,0,2686,2,6969599.83808,10559.9998773333
741,1324,0,1324,1,6969599.83808,10559.9998773333
742,2530,0,2530,6,6969599.83808,10559.9998773333
743,3099,0,3099,3,6969599.83808,10559.9998773333
744,3903,0,3903,1,6969600.70421999,10560.0005335
745,3731,0,3731,3,6969599.83808,10559.9998773333
746,1549,0,1549,3,6969600.70421999,10560.0005335
747,322,0,322,1,6969600.70421999,10560.0005335
748,3612,0,3612,1,6969599.83808,10559.9998773333
749,1703,0,1703,4,6969599.83808,10559.9998773333
750,2065,0,2065,2,6969599.83808,10559.9998773333
751,1712,0,1712,6,6969599.83808,10559.9998773333
752,2069,0,2069,1,6969599.83808,10559.9998773333
753,1502,0,1502,2,6969599.83808,10559.9998773333
754,4032,0,4032,2,6969600.70421999,10560.0005335
755,3904,0,3904,1,6969599.83808,10559.9998773333
756,2119,0,2119,3,6969599.83808,10559.9998773333
757,429,0,429,5,6969599.83808,10559.9998773333
758,548,0,548,4,6969599.83808,10559.9998773333
759,1298,0,1298,5,6969599.83808,10559.9998773333
760,1374,0,1374,4,6969599.83808,10559.9998773333
761,1197,0,1197,3,6969599.83808,10559.9998773333
762,3511,0,3511,2,6969599.83808,10559.9998773333
763,730,0,730,2,6969599.83808,10559.9998773333
764,1787,0,1787,1,6969599.83808,10559.9998773333
765,1120,0,1120,3,6969599.83808,10559.9998773333
766,2340,0,2340,4,6969599.83808,10559.9998773333
767,1540,0,1540,4,6969600.70421999,10560.0005335
768,2579,0,2579,1,6969600.70421999,10560.0005335
769,2650,0,2650,3,6969599.83808,10559.9998773333
770,1243,0,1243,4,6969599.83808,10559.9998773333
771,259,0,259,3,6969600.70421999,10560.0005335
772,1544,0,1544,6,6969600.70421999,10560.0005335
773,611,0,611,2,6969599.83808,10559.9998773333
774,4030,0,4030,1,6969600.70421999,10560.0005335
775,2738,0,2738,2,6969599.83808,10559.9998773333
776,2220,0,2220,1,6969599.83808,10559.9998773333
777,316,0,316,3,6969600.70421999,10560.0005335
778,1726,0,1726,3,6969599.83808,10559.9998773333
779,942,0,942,0,6969600.70421999,10560.0005335
780,484,0,484,0,6969599.83808,10559.9998773333
781,1404,0,1404,1,6969599.83808,10559.9998773333
782,1385,0,1385,2,6969599.83808,10559.9998773333
783,2186,0,2186,5,6969600.70421999,10560.0005335
784,1723,0,1723,3,6969599.83808,10559.9998773333
