X,Y,OBJECTID,APTCODE,PROJECT_NA,ADDRESS,CITYSTATEZ,TYPE,MIN_rentMO,MAX_rentMO,units,Credit,Avg_Rent,Affordable,URL
1481079.900791,509650.902150929,62,779,CREST AT GALLERIA,1815 GALLERIA CLUB LANE,"CHARLOTTE, NC 28270",MARKET RATE,700,1100,48,Real Data,1100,no,https://www.aptindex.com/
1425647.04610576,519336.125562593,63,586,HIDEAWAY LAKE,1825 CARRINGTON OAKS DRIVE,"CHARLOTTE, NC 28273",MARKET RATE,800,1200,274,Real Data,1200,no,https://www.aptindex.com/
1466520.30687876,561335.626209095,64,406,HUNTERS POINTE,1841 B PROSPECT DRIVE,"CHARLOTTE, NC 28213",MARKET RATE,500,1100,394,Real Data,1100,yes,https://www.aptindex.com/
1470966.94693559,543432.069168508,65,103,TOWNHOMES AT ASHBROOK,1921-F EASTWAY DRIVE,"CHARLOTTE, NC 28205",MARKET RATE,600,900,150,Real Data,800,yes,https://www.aptindex.com/
1445438.06426643,562197.890232593,66,125,ROYAL ORLEANS,1924-A MCALLISTER DRIVE,"CHARLOTTE, NC 28216",MARKET RATE,500,800,181,Real Data,800,yes,https://www.aptindex.com/
1440721.82533935,503529.41767475,67,184,SHARONRIDGE,1937 SHARON ROAD WEST,"CHARLOTTE, NC 28210",MARKET RATE,600,1000,75,Real Data,900,yes,https://www.aptindex.com/
1477494.32364459,548509.24339734,68,249,PARK CREEK,1951 MILTON ROAD,"CHARLOTTE, NC 28215",MARKET RATE,500,800,231,Real Data,800,yes,https://www.aptindex.com/
1465609.07969859,546974.106703833,69,018,CREEKSIDE,2000 PATIO COURT,"CHARLOTTE, NC 28205",MARKET RATE,400,700,57,Real Data,700,yes,https://www.aptindex.com/
1481821.00724842,579973.042346254,70,478,MALLARD GLEN,2002 LAYSAN TEAL LANE,"CHARLOTTE, NC 28262",MARKET RATE,600,1200,460,Real Data,1100,no,https://www.aptindex.com/
1471065.05533518,560050.030027002,71,111,MAPLE RUN I,2003 CANTERWOOD DRIVE,"CHARLOTTE, NC 28213",MARKET RATE,600,1100,103,Real Data,1000,yes,https://www.aptindex.com/
1422288.34908301,510795.93890284,72,819,LOFTS AT CHARLESTON ROW,"2025 AYRSLEY TOWN BLVD, STE 1105","CHARLOTTE, NC 28273",MARKET RATE,1100,1200,230,Real Data,1200,no,https://www.aptindex.com/
1479063.97404858,516258.075944424,73,449,TIMBER CREST AT GREENWAY,2025 TIMBER OAK DRIVE,"CHARLOTTE, NC 28212",MARKET RATE,600,1100,282,Real Data,1000,yes,https://www.aptindex.com/
1471444.88036293,560089.114922583,74,293,MAPLE RUN II,2101-2 CANTERWOOD DRIVE,"CHARLOTTE, NC 28213",MARKET RATE,500,1100,207,Real Data,1000,yes,https://www.aptindex.com/
1424499.75476517,512968.140923262,75,177,ARROWOOD CROSSING,2109 ARROWCREEK DRIVE,"CHARLOTTE, NC 28273",MARKET RATE,600,1100,200,Real Data,1100,yes,https://www.aptindex.com/
1478644.89516234,518524.041556835,76,251,VILLA EAST,2121 VILLAGE LAKE DR. (OFFICE),"CHARLOTTE, NC 28212",MARKET RATE,400,700,120,Real Data,600,yes,https://www.aptindex.com/
1440400.85714926,506146.869788915,77,199,SHARON CROSSING,2123 EL VERANO CIRCLE,"CHARLOTTE, NC 28210",MARKET RATE,500,1000,144,Real Data,900,yes,https://www.aptindex.com/
1442849.02974634,533404.506874591,78,194,SEDGEFIELD,215 POINDEXTER DRIVE,"CHARLOTTE, NC 28209",MARKET RATE,500,1100,303,Real Data,1200,no,https://www.aptindex.com/
1434909.6844046,510364.770801917,79,081,WINDGATE PLACE,220 BRANCHVIEW DRIVE,"CHARLOTTE, NC 28217",MARKET RATE,500,1000,196,Real Data,900,yes,https://www.aptindex.com/
1470707.11871509,542262.070196167,80,094,SLOPE,2205 KILBORNE DRIVE,"CHARLOTTE, NC 28205",MARKET RATE,500,900,128,Real Data,900,yes,https://www.aptindex.com/
1423682.24360493,512683.265180677,81,157,COFFEY CREEK,2208 YAGER CREEK DRIVE,"CHARLOTTE, NC 28273",MARKET RATE,600,1100,420,Real Data,1100,yes,https://www.aptindex.com/
1461280.45974693,553141.680982843,82,231,EDGE AT NODA,229 HILO DRIVE,"CHARLOTTE, NC 28206",MARKET RATE,500,1200,208,Real Data,1200,no,https://www.aptindex.com/
1480067.13510001,574696.93544443,83,334,ASHFORD GREEN,230 BARTON CREEK DRIVE,"CHARLOTTE, NC 28262",MARKET RATE,700,1300,300,Real Data,1200,no,https://www.aptindex.com/
1479458.48474251,518178.006815836,84,040,PARK 2300,2300 VILLAGE LAKE DRIVE,"CHARLOTTE, NC 28212",MARKET RATE,600,1100,384,Real Data,1100,no,https://www.aptindex.com/
1481694.04785667,555608.26430425,85,154,MEADOWBROOK,2320 GINGER LANE,"CHARLOTTE, NC 28213",MARKET RATE,500,1000,152,Real Data,800,yes,https://www.aptindex.com/
1426466.94866543,519394.883647174,86,605,COTTONWOOD RESERVE,2325 COURTNEY OAKS ROAD,"CHARLOTTE, NC 28217",MARKET RATE,800,1300,280,Real Data,1300,no,https://www.aptindex.com/
